sample_id,fuel,set_id,source_set_id,candidate_pair_index,flow_setting,sync_timestamp,rgb_timestamp,ir_timestamp,thermal_timestamp,rgb_ir_delta_ms,thermal_time_delta_ms,thermal_frame_index,thermal_fps,thermal_video_width,thermal_video_height,thermal_video_frame_count,rgb_sequence,ir_sequence,rgb_tick_ms,ir_tick_ms,rgb_path,ir_path,thermal_path,source_rgb_path,source_ir_path,source_thermal_video,thermal_extract_flag,gas_timestamp,gas_time_delta_s,gas_source_line,gas_match_flag,gas_raw_efficiency_percent,gas_efficiency_percent,gas_raw_ambient_temp_c,gas_ambient_temp_c,gas_raw_stack_temp_c,gas_stack_temp_c,gas_raw_oxygen_percent,gas_oxygen_percent,gas_raw_carbon_monoxide_ppm,gas_carbon_monoxide_ppm,gas_raw_carbon_dioxide_percent,gas_carbon_dioxide_percent,gas_raw_stack_draft_inwc,gas_stack_draft_inwc,gas_raw_excess_air_percent,gas_excess_air_percent,gas_raw_nitric_oxide_ppm,gas_nitric_oxide_ppm,gas_raw_nitrogen_dioxide_ppm,gas_nitrogen_dioxide_ppm,gas_raw_oxides_of_nitrogen_ppm,gas_oxides_of_nitrogen_ppm,gas_qc_flag,gas_qc_reasons,gas_qc_warnings,gas_qc_version
flare_20260515_methane_set001_000000,methane,set-001,set-1,0,,2026-05-15 18:48:23.230032,2026-05-15 18:48:23.230032,2026-05-15 18:48:23.230032,2026-05-15 18:48:23.247689,0,17.657,24,25.009612,768,576,2602,0,0,2055000,2055000,data/methane/set-001/rgb/flare_20260515_methane_set001_000000_rgb.png,data/methane/set-001/ir/flare_20260515_methane_set001_000000_ir.png,data/methane/set-001/thermal/flare_20260515_methane_set001_000000_thermal.png,C:\Users\ADMIN\Documents\IYYAKUTTI\FlareAnalysis\[15_05_2026]_dataCollection\methane\set-1\RGB\00000000_00000000001F5B58.png,C:\Users\ADMIN\Documents\IYYAKUTTI\FlareAnalysis\[15_05_2026]_dataCollection\methane\set-1\IR\00000000_00000000001F5B58.png,C:\Users\ADMIN\Documents\IYYAKUTTI\FlareAnalysis\[15_05_2026]_dataCollection\methane\set-1\Thermal\Rec_20260515_184822_189.mp4,ok,2026-05-15 18:48:23,-0.230032,803,ok,N.A.,,36,36.0,324,324.0,18.1,18.1,1327,1327.0,2.7,2.7,0.0,0.0,347,347.0,0.0,0.0,0.0,0.0,0.0,0.0,ok,,,gas-qc-v1
flare_20260515_methane_set001_000001,methane,set-001,set-1,1,,2026-05-15 18:48:23.682532,2026-05-15 18:48:23.698032,2026-05-15 18:48:23.667032,2026-05-15 18:48:23.687520,31,4.988,35,25.009612,768,576,2602,1,1,2055468,2055437,data/methane/set-001/rgb/flare_20260515_methane_set001_000001_rgb.png,data/methane/set-001/ir/flare_20260515_methane_set001_000001_ir.png,data/methane/set-001/thermal/flare_20260515_methane_set001_000001_thermal.png,C:\Users\ADMIN\Documents\IYYAKUTTI\FlareAnalysis\[15_05_2026]_dataCollection\methane\set-1\RGB\00000001_00000000001F5D2C.png,C:\Users\ADMIN\Documents\IYYAKUTTI\FlareAnalysis\[15_05_2026]_dataCollection\methane\set-1\IR\00000001_00000000001F5D0D.png,C:\Users\ADMIN\Documents\IYYAKUTTI\FlareAnalysis\[15_05_2026]_dataCollection\methane\set-1\Thermal\Rec_20260515_184822_189.mp4,ok,2026-05-15 18:48:24,0.317468,804,ok,N.A.,,36,36.0,332,332.0,18.1,18.1,18.1,18.1,18.1,18.1,2.4,2.4,10759,10759.0,0.0,0.0,265,265.0,0.0,0.0,reject,carbon_dioxide_percent_outside_0_15;co_ppm_equals_co2_percent_and_oxygen;oxygen_co_co2_identical_nonzero;oxygen_plus_co2_gt_23,excess_air_gt_5000,gas-qc-v1
flare_20260515_methane_set001_000002,methane,set-001,set-1,2,,2026-05-15 18:48:24.065532,2026-05-15 18:48:24.120032,2026-05-15 18:48:24.011032,2026-05-15 18:48:24.047382,109,-18.15,44,25.009612,768,576,2602,2,2,2055890,2055781,data/methane/set-001/rgb/flare_20260515_methane_set001_000002_rgb.png,data/methane/set-001/ir/flare_20260515_methane_set001_000002_ir.png,data/methane/set-001/thermal/flare_20260515_methane_set001_000002_thermal.png,C:\Users\ADMIN\Documents\IYYAKUTTI\FlareAnalysis\[15_05_2026]_dataCollection\methane\set-1\RGB\00000002_00000000001F5ED2.png,C:\Users\ADMIN\Documents\IYYAKUTTI\FlareAnalysis\[15_05_2026]_dataCollection\methane\set-1\IR\00000002_00000000001F5E65.png,C:\Users\ADMIN\Documents\IYYAKUTTI\FlareAnalysis\[15_05_2026]_dataCollection\methane\set-1\Thermal\Rec_20260515_184822_189.mp4,ok,2026-05-15 18:48:24,-0.065532,804,ok,N.A.,,36,36.0,332,332.0,18.1,18.1,18.1,18.1,18.1,18.1,2.4,2.4,10759,10759.0,0.0,0.0,265,265.0,0.0,0.0,reject,carbon_dioxide_percent_outside_0_15;co_ppm_equals_co2_percent_and_oxygen;oxygen_co_co2_identical_nonzero;oxygen_plus_co2_gt_23,excess_air_gt_5000,gas-qc-v1
flare_20260515_methane_set001_000003,methane,set-001,set-1,3,,2026-05-15 18:48:24.503032,2026-05-15 18:48:24.573032,2026-05-15 18:48:24.433032,2026-05-15 18:48:24.487212,140,-15.82,55,25.009612,768,576,2602,3,3,2056343,2056203,data/methane/set-001/rgb/flare_20260515_methane_set001_000003_rgb.png,data/methane/set-001/ir/flare_20260515_methane_set001_000003_ir.png,data/methane/set-001/thermal/flare_20260515_methane_set001_000003_thermal.png,C:\Users\ADMIN\Documents\IYYAKUTTI\FlareAnalysis\[15_05_2026]_dataCollection\methane\set-1\RGB\00000003_00000000001F6097.png,C:\Users\ADMIN\Documents\IYYAKUTTI\FlareAnalysis\[15_05_2026]_dataCollection\methane\set-1\IR\00000003_00000000001F600B.png,C:\Users\ADMIN\Documents\IYYAKUTTI\FlareAnalysis\[15_05_2026]_dataCollection\methane\set-1\Thermal\Rec_20260515_184822_189.mp4,ok,2026-05-15 18:48:25,0.496968,805,ok,N.A.,,36,36.0,337,337.0,17.5,17.5,1259,1259.0,2.4,2.4,0.0,0.0,317,317.0,0.0,0.0,0.0,0.0,0.0,0.0,ok,,,gas-qc-v1
flare_20260515_methane_set001_000004,methane,set-001,set-1,4,,2026-05-15 18:48:24.964032,2026-05-15 18:48:25.058032,2026-05-15 18:48:24.870032,2026-05-15 18:48:24.967028,188,2.996,67,25.009612,768,576,2602,4,4,2056828,2056640,data/methane/set-001/rgb/flare_20260515_methane_set001_000004_rgb.png,data/methane/set-001/ir/flare_20260515_methane_set001_000004_ir.png,data/methane/set-001/thermal/flare_20260515_methane_set001_000004_thermal.png,C:\Users\ADMIN\Documents\IYYAKUTTI\FlareAnalysis\[15_05_2026]_dataCollection\methane\set-1\RGB\00000004_00000000001F627C.png,C:\Users\ADMIN\Documents\IYYAKUTTI\FlareAnalysis\[15_05_2026]_dataCollection\methane\set-1\IR\00000004_00000000001F61C0.png,C:\Users\ADMIN\Documents\IYYAKUTTI\FlareAnalysis\[15_05_2026]_dataCollection\methane\set-1\Thermal\Rec_20260515_184822_189.mp4,ok,2026-05-15 18:48:25,0.035968,805,ok,N.A.,,36,36.0,337,337.0,17.5,17.5,1259,1259.0,2.4,2.4,0.0,0.0,317,317.0,0.0,0.0,0.0,0.0,0.0,0.0,ok,,,gas-qc-v1
flare_20260515_methane_set001_000005,methane,set-001,set-1,5,,2026-05-15 18:48:25.628032,2026-05-15 18:48:25.526032,2026-05-15 18:48:25.730032,2026-05-15 18:48:25.646767,-204,18.735,84,25.009612,768,576,2602,5,6,2057296,2057500,data/methane/set-001/rgb/flare_20260515_methane_set001_000005_rgb.png,data/methane/set-001/ir/flare_20260515_methane_set001_000005_ir.png,data/methane/set-001/thermal/flare_20260515_methane_set001_000005_thermal.png,C:\Users\ADMIN\Documents\IYYAKUTTI\FlareAnalysis\[15_05_2026]_dataCollection\methane\set-1\RGB\00000005_00000000001F6450.png,C:\Users\ADMIN\Documents\IYYAKUTTI\FlareAnalysis\[15_05_2026]_dataCollection\methane\set-1\IR\00000006_00000000001F651C.png,C:\Users\ADMIN\Documents\IYYAKUTTI\FlareAnalysis\[15_05_2026]_dataCollection\methane\set-1\Thermal\Rec_20260515_184822_189.mp4,ok,2026-05-15 18:48:26,0.371968,806,ok,N.A.,,36,36.0,337,337.0,16.5,16.5,1293,1293.0,1.9,1.9,0.0,0.0,388,388.0,0.0,0.0,0.0,0.0,0.0,0.0,ok,,,gas-qc-v1
flare_20260515_methane_set001_000006,methane,set-001,set-1,6,,2026-05-15 18:48:26.057532,2026-05-15 18:48:25.995032,2026-05-15 18:48:26.120032,2026-05-15 18:48:26.046613,-125,-10.919,94,25.009612,768,576,2602,6,7,2057765,2057890,data/methane/set-001/rgb/flare_20260515_methane_set001_000006_rgb.png,data/methane/set-001/ir/flare_20260515_methane_set001_000006_ir.png,data/methane/set-001/thermal/flare_20260515_methane_set001_000006_thermal.png,C:\Users\ADMIN\Documents\IYYAKUTTI\FlareAnalysis\[15_05_2026]_dataCollection\methane\set-1\RGB\00000006_00000000001F6625.png,C:\Users\ADMIN\Documents\IYYAKUTTI\FlareAnalysis\[15_05_2026]_dataCollection\methane\set-1\IR\00000007_00000000001F66A2.png,C:\Users\ADMIN\Documents\IYYAKUTTI\FlareAnalysis\[15_05_2026]_dataCollection\methane\set-1\Thermal\Rec_20260515_184822_189.mp4,ok,2026-05-15 18:48:26,-0.057532,806,ok,N.A.,,36,36.0,337,337.0,16.5,16.5,1293,1293.0,1.9,1.9,0.0,0.0,388,388.0,0.0,0.0,0.0,0.0,0.0,0.0,ok,,,gas-qc-v1
flare_20260515_methane_set001_000007,methane,set-001,set-1,7,,2026-05-15 18:48:26.487532,2026-05-15 18:48:26.433032,2026-05-15 18:48:26.542032,2026-05-15 18:48:26.486444,-109,-1.088,105,25.009612,768,576,2602,7,8,2058203,2058312,data/methane/set-001/rgb/flare_20260515_methane_set001_000007_rgb.png,data/methane/set-001/ir/flare_20260515_methane_set001_000007_ir.png,data/methane/set-001/thermal/flare_20260515_methane_set001_000007_thermal.png,C:\Users\ADMIN\Documents\IYYAKUTTI\FlareAnalysis\[15_05_2026]_dataCollection\methane\set-1\RGB\00000007_00000000001F67DB.png,C:\Users\ADMIN\Documents\IYYAKUTTI\FlareAnalysis\[15_05_2026]_dataCollection\methane\set-1\IR\00000008_00000000001F6848.png,C:\Users\ADMIN\Documents\IYYAKUTTI\FlareAnalysis\[15_05_2026]_dataCollection\methane\set-1\Thermal\Rec_20260515_184822_189.mp4,ok,2026-05-15 18:48:26,-0.487532,806,ok,N.A.,,36,36.0,337,337.0,16.5,16.5,1293,1293.0,1.9,1.9,0.0,0.0,388,388.0,0.0,0.0,0.0,0.0,0.0,0.0,ok,,,gas-qc-v1
flare_20260515_methane_set001_000008,methane,set-001,set-1,8,,2026-05-15 18:48:26.932532,2026-05-15 18:48:26.901032,2026-05-15 18:48:26.964032,2026-05-15 18:48:26.926275,-63,-6.257,116,25.009612,768,576,2602,8,9,2058671,2058734,data/methane/set-001/rgb/flare_20260515_methane_set001_000008_rgb.png,data/methane/set-001/ir/flare_20260515_methane_set001_000008_ir.png,data/methane/set-001/thermal/flare_20260515_methane_set001_000008_thermal.png,C:\Users\ADMIN\Documents\IYYAKUTTI\FlareAnalysis\[15_05_2026]_dataCollection\methane\set-1\RGB\00000008_00000000001F69AF.png,C:\Users\ADMIN\Documents\IYYAKUTTI\FlareAnalysis\[15_05_2026]_dataCollection\methane\set-1\IR\00000009_00000000001F69EE.png,C:\Users\ADMIN\Documents\IYYAKUTTI\FlareAnalysis\[15_05_2026]_dataCollection\methane\set-1\Thermal\Rec_20260515_184822_189.mp4,ok,2026-05-15 18:48:27,0.067468,807,ok,N.A.,,36,36.0,335,335.0,15.6,15.6,1399,1399.0,1.0,1.0,0.0,0.0,754,754.0,0.0,0.0,0.0,0.0,0.0,0.0,ok,,,gas-qc-v1
flare_20260515_methane_set001_000009,methane,set-001,set-1,9,,2026-05-15 18:48:27.307532,2026-05-15 18:48:27.292032,2026-05-15 18:48:27.323032,2026-05-15 18:48:27.326121,-31,18.589,126,25.009612,768,576,2602,9,10,2059062,2059093,data/methane/set-001/rgb/flare_20260515_methane_set001_000009_rgb.png,data/methane/set-001/ir/flare_20260515_methane_set001_000009_ir.png,data/methane/set-001/thermal/flare_20260515_methane_set001_000009_thermal.png,C:\Users\ADMIN\Documents\IYYAKUTTI\FlareAnalysis\[15_05_2026]_dataCollection\methane\set-1\RGB\00000009_00000000001F6B36.png,C:\Users\ADMIN\Documents\IYYAKUTTI\FlareAnalysis\[15_05_2026]_dataCollection\methane\set-1\IR\00000010_00000000001F6B55.png,C:\Users\ADMIN\Documents\IYYAKUTTI\FlareAnalysis\[15_05_2026]_dataCollection\methane\set-1\Thermal\Rec_20260515_184822_189.mp4,ok,2026-05-15 18:48:27,-0.307532,807,ok,N.A.,,36,36.0,335,335.0,15.6,15.6,1399,1399.0,1.0,1.0,0.0,0.0,754,754.0,0.0,0.0,0.0,0.0,0.0,0.0,ok,,,gas-qc-v1
